CASE_STATUS,JOB_TITLE,FULL_TIME_POSITION,EMPLOYER_NAME,EMPLOYER_STATE,WORKSITE_CITY_1,PREVAILING_WAGE_1,YEAR,
DENIED,SYSTEMS ADMINISTRATOR,Y,SAPHIRE SOLUTIONS INC,NY,BETHPAGE,68638,2015,
DENIED,DISTRIBUTION ADMINISTRATOR,Y,"BROKEN HILL PROPRIETARY (USA), INC.",PA,PITTSBURGH,46987,2015,
DENIED,SENIOR ELECTRICAL ENGINEER I,Y,CHICAGO BRIDGE & IRON COMPANY (DELAWARE),IL,PLAINFIELD,77738,2015,
DENIED,FINANCIAL ENGINEER - MODELING,Y,NICO HOLDINGS LLC,IL,CHICAGO,59862,2015,
DENIED,NETWORK SUPPORT ANALYST,Y,DELL MARKETING LP,NY,NEW YORK,47070,2015,
DENIED,VICE PRESIDENT,Y,"DANIEL J. EDELMAN, INC.",NY,NEW YORK,88525,2015,
DENIED,COMPUTER SYSTEMS ANALYST,Y,"INTERNATIONAL TECHNOLOGY SOLUTIONS, INC",IL,CHICAGO,62754,2015,
DENIED,PROGRAMMER ANALYST,Y,UNITED SOFTWARE GROUP INC.,MI,TROY,48672,2015,
DENIED,ASSOCIATE (LAWYER),Y,"CADWALADER, WICKERSHAM & TAFT LLP",NY,NEW YORK,82243,2015,
DENIED,SERVICE ENGINEER- SUPERVISOR,Y,TETRA PAK,WI,LAKE GENEVA,55578,2015,
DENIED,SENIOR IT ARCHITECT,Y,"SUPERVALU, INC.",MN,EDEN PRAIRIE,102461,2015,
DENIED,MANUFACTURING ENGINEER,Y,"CUMMINS FILTRATION, INC.",WI,NEILLSVILLE,43077,2015,
DENIED,TREASURY ANALYST,Y,CUMMINS INC.,IN,COLUMBUS,44658,2015,
DENIED,SENIOR ACCOUNT EXECUTIVE,Y,"DANIEL J. EDELMAN, INC.",NY,NEW YORK,43035,2015,
DENIED,RESEARCH SCIENTIST,Y,VAN ANDEL RESEARCH INSTITUTE,MI,GRAND RAPIDS,52562,2015,
DENIED,ELECTRONICS VALIDATION TEST ENGINEER,Y,"JOHNSON CONTROLS, INC.",MI,HOLLAND,55099,2015,
DENIED,CUSTOMER SUPPORT EXCELLENCE LEADER,Y,CUMMINS EMISSION SOLUTIONS INC.,IN,COLUMBUS,67517,2015,
DENIED,FACADE ENGINEER,Y,"BURO HAPPOLD, INC.",NY,NEW YORK,60861,2015,
DENIED,TECHNICAL SUPPORT ENGINEER,Y,ERICSSON INC.,NY,BROOKLYN,78775,2015,
DENIED,"SENIOR PROJECT MANAGER, INNOVATION AND DEVELOPMENT",Y,"APP PHARMACEUTICALS, LLC",IL,SCHAUMBURG,90334,2015,
DENIED,SERVICE ENGINEER,Y,CUMMINS INC.,IN,COLUMBUS,51459,2015,
DENIED,ASSOCIATE WEB DEVELOPER,Y,"BRANDWIZARD TECHNOLOGIES, INC.",NY,NEW YORK,52478,2015,
DENIED,SOFTWARE TEST ENGINEER,Y,"JOHNSON CONTROLS, INC.",MI,HOLLAND,46176,2015,
DENIED,VIDEO SYSTEMS ENGINEER,Y,VIMEO LLC,NY,NEW YORK,85966,2015,
DENIED,GLOBAL MARKETING ANALYST,Y,"PENTAIR FILTRATION SOLUTIONS, LLC",MN,GOLDEN VALLEY,60133,2015,
DENIED,SENIOR BUSINESS ANALYST,Y,UNITED SOFTWARE GROUP INC.,IN,COLUMBUS,71718,2015,
DENIED,PURCHASING ANALYST,Y,CUMMINS EMISSION SOLUTIONS INC.,IN,COLUMBUS,58386,2015,
DENIED,SALES SUPPORT ASSOCIATE (FINANCIAL ASSOCIATE),Y,FX DIRECT DEALER LLC,NY,NEW YORK,38501,2015,
DENIED,RELIABILITY ENGINEER,Y,CUMMINS EMISSION SOLUTIONS INC.,IN,COLUMBUS,62026,2015,
DENIED,MECHANICAL DEVELOPMENT ENGINEER,Y,CUMMINS EMISSION SOLUTIONS INC.,IN,COLUMBUS,51459,2015,
DENIED,SOURCING SPECIALIST,Y,CUMMINS INC.,IN,COLUMBUS,58386,2015,
DENIED,STRUCTURAL ANALYSIS ENGINEER,Y,CUMMINS INC.,IN,COLUMBUS,51459,2015,
DENIED,FINANCE ANALYST,Y,CUMMINS INC.,IN,COLUMBUS,49608,2015,
DENIED,IT - ANALYST IT DEVELOPMENT PROGRAM,Y,CUMMINS INC.,MN,FRIDLEY,55349,2015,
DENIED,ASSOCIATE PROFESSOR OF ECONOMICS,Y,SKIDMORE COLLEGE,NY,SARATOGA SPRINGS,88213,2015,
DENIED,QUANTITATIVE TRADER,Y,"SG AMERICAS SECURITIES, LLC",NY,NEW YORK,88213,2015,
DENIED,MIDRANGE FUEL SYSTEMS CURRENT PRODUCT PROJECT LEADER,Y,CUMMINS INC.,IN,COLUMBUS,72571,2015,
DENIED,"MANAGER, CORPORATE DEVELOPMENT",Y,CUMMINS INC.,IN,COLUMBUS,81037,2015,
DENIED,GIS SPECIALIST,Y,"AMEC ENVIRONMENT & INFRASTRUCTURE, INC.",MI,NOVI,43742,2015,
DENIED,DATA ANALYST,Y,VENIO LLC,NY,NEW YORK,53456,2015,
DENIED,JUNIOR PLANNER,Y,GROUPM WORLDWIDE INC. - MEC,NY,NEW YORK,26083,2015,
DENIED,ANALYST/LEVERAGED FINANCE GROUP,Y,UBS SECURITIES LLC,NY,NEW YORK,62566,2015,
DENIED,ANALYST/GLOBAL INDUSTRIALS GROUP,Y,UBS SECURITIES LLC,NY,NEW YORK,62566,2015,
DENIED,ANALYST/HEALTHCARE GROUP,Y,UBS SECURITIES LLC,NY,NEW YORK,62566,2015,
DENIED,PROGRAMMER ANALYST,Y,"UNITED SOFTWARE GROUP, INC.",MI,TROY,59488,2015,
DENIED,SUPPLIER QUALITY IMPROVEMENT ENGINEER,Y,CUMMINS INC.,IN,COLUMBUS,58386,2015,
DENIED,TECHNICAL SPECIALIST - APPLIED MECHANICS,Y,CUMMINS EMISSION SOLUTIONS INC.,WI,STOUGHTON,77792,2015,
DENIED,ENGINEER 3,Y,"BENDIX SPICER FOUNDATION BRAKE, LLC",OH,ELYRIA,70400,2015,
DENIED,"SENIOR ENGINEER, TECHNOLOGY AND INTEGRATION",Y,GLOBALFOUNDRIES U.S. INC.,NY,MALTA,82243,2015,
DENIED,SENIOR METALLURGICAL ENGINEER,Y,CUMMINS INC.,IN,COLUMBUS,60112,2015,
DENIED,DIAGNOSTIC SYSTEMS ENGINEER,Y,CUMMINS INC.,IN,COLUMBUS,51459,2015,
DENIED,SOFTWARE DEVELOPMENT ENGINEER I,Y,AMAZON CORPORATE LLC,NY,NEW YORK,69451,2015,
DENIED,ASSISTANT ACCOUNT EXECUTIVE,Y,YOUNG & RUBICAM INC. - YOUNG & RUBICAM BRANDS,NY,NEW YORK,26083,2015,
DENIED,FINITE ELEMENT ANAYLSIS ENGINEER,Y,CUMMINS INC.,IN,COLUMBUS,51459,2015,
DENIED,"SENIOR FINANCIAL ANALYST, THE AMERICAS",Y,"TBWA WORLDWIDE, INC.",NY,NEW YORK,89232,2015,
DENIED,PRINCIPLE ENGINEER - SYSTEMS,Y,"JOHNSON CONTROLS, INC.",MI,HOLLAND,72093,2015,
DENIED,ASSOCIATE,Y,ROTHSCHILD INC.,NY,NEW YORK,88213,2015,
DENIED,ASSOCIATE,Y,MORGAN STANLEY & CO. LLC,NY,NEW YORK,88213,2015,
DENIED,ASSOCIATE,Y,GOTTEX FUND MANAGEMENT LTD.,NY,NEW YORK,62566,2015,
DENIED,ELECTRICAL ENGINEER,Y,CUMMINS INC.,MN,FRIDLEY,61797,2015,
DENIED,ANALYST,Y,MORGAN STANLEY & CO. LLC,NY,NEW YORK,56950,2015,
DENIED,JUNIOR ARCHITECT,Y,ROBERT A.M. STERN ARCHITECTS,NY,NEW YORK,52187,2015,
DENIED,HR PROFESSIONAL,Y,CUMMINS INC.,NY,LAKEWOOD,65790,2015,
DENIED,ACCOUNT COORDINATOR,Y,"BCP ACQUISITION CORP, INC.",NY,NEW YORK,26083,2015,
DENIED,ACCOUNT COORDINATOR,Y,"BCP ACQUISITION CORP, INC.",NY,NEW YORK,26083,2015,
DENIED,HR PROFESSIONAL,Y,CUMMINS INC.,IN,COLUMBUS,58968,2015,
DENIED,PROGRAMMER ANALYST,Y,UNITED SOFTWARE GROUP INC.,MI,TROY,48672,2015,
DENIED,POST-DOCTORAL RESEARCHER,Y,XEROX CORPORATION,NY,WEBSTER,52562,2015,
DENIED,ELECTRONICS CONTROLS ENGINEER,Y,CUMMINS INC.,IN,COLUMBUS,61797,2015,
DENIED,JUNIOR ARCHITECT,Y,ROBERT A.M. STERN ARCHITECTS,NY,NEW YORK,52187,2015,
DENIED,SOLUTIONS ENGINEER,Y,"MENLO LOGISTICS, INC. DBA MENLO WORLDWIDE LOGISTIC",MI,AUBURN HILLS,49462,2015,
DENIED,JUNIOR FINANCIAL ENGINEER,Y,"SG AMERICAS SECURITIES, LLC",NY,NEW YORK,113859,2015,
DENIED,PRODUCTION PLANNER LAUNCH CONTROL,Y,CUMMINS INC.,MN,FRIDLEY,59779,2015,
DENIED,OPERATIONS ANALYST/IB,Y,UBS SECURITIES LLC,NY,NEW YORK,58100,2015,
DENIED,JUNIOR ARCHITECT,Y,ROBERT A.M. STERN ARCHITECTS,NY,NEW YORK,52187,2015,
DENIED,ASSOCIATE,Y,"CADWALADER, WICKERSHAM & TAFT LLP",NY,NEW YORK,82243,2015,
DENIED,ASSOCIATE,Y,"CENTERBRIDGE PARTNERS, L.P.",NY,NEW YORK,88213,2015,
DENIED,VIDEO SOFTWARE ENGINEER,Y,VIMEO LLC,NY,NEW YORK,69451,2015,
DENIED,CONSUMER STRATEGIES SENIOR ANALYST,Y,"CARAT USA, INC.",NY,NEW YORK,44616,2015,
DENIED,ACCOUNT DIRECTOR,Y,"TBWA WORLDWIDE, INC.",NY,NEW YORK,114192,2015,
DENIED,DEVELOPMENT ENGINEER - DEVICE,Y,"FIRST SOLAR, INC.",OH,PERRYSBURG,72093,2015,
DENIED,PROGRAMMER ANALYST,Y,UNITED SOFTWARE GROUP INC.,MI,TROY,48672,2015,
DENIED,RESEARCH AND STAFF MEMBER,Y,XEROX CORPORATION,NY,WEBSTER,75858,2015,
DENIED,ASSOCIATE CAPACITY & PERFORMANCE ANALYST,Y,"METLIFE GROUP, INC.",NY,LONG ISLAND CITY,58906,2015,
DENIED,STAFF ENGINEER,Y,"JOHNSON CONTROLS, INC.",MI,HOLLAND,57970,2015,
DENIED,"COMBUSTION, PERFORMANCE, EMISSIONS ENGINEER",Y,CUMMINS INC.,IN,COLUMBUS,51459,2015,
DENIED,SENIOR STRATEGIST,Y,"EGG STRATEGY, INC.",IL,CHICAGO,112050,2015,
DENIED,ASSOCIATE,Y,LAZARD FRERES & CO. LLC,NY,NEW YORK,88213,2015,
DENIED,ASSOCIATE,Y,LAZARD FRERES & CO. LLC,NY,NEW YORK,88213,2015,
DENIED,DOCTOR OF OPTOMETRY,Y,VISIONWORKS,PA,BARTONSVILLE,62837,2015,
DENIED,SENIOR TAX ANALYST,Y,EATON CORPORATION,OH,CLEVELAND,55120,2015,
DENIED,"MANAGER, BUSINESS PLANNING",Y,GROUPM WORLDWIDE INC.-MINDSHARE WORLDWIDE,IL,CHICAGO,48339,2015,
DENIED,PUBLIC RELATIONS ANALYST,Y,BRUNSWICK GROUP LLC,NY,NEW YORK,58635,2015,
DENIED,"SENIOR ART DIRECTOR, DIGITAL",Y,AGENCYRX LLC,NY,NEW YORK,70928,2015,
DENIED,"CLIENT STAFF ADVISOR, TECHNOLOGY PRACTICE",Y,BURSON-MARSTELLER LLC,NY,NEW YORK,26083,2015,
DENIED,SENIOR MECHANICAL ENGINEER,Y,CUMMINS INC.,MN,FRIDLEY,57242,2015,
DENIED,PRODUCTION PLANNER LAUNCH CONTROL,Y,CUMMINS INC.,MN,FRIDLEY,50274,2015,
DENIED,ECONOMIC ANALYST,Y,"HAVER ANALYTICS, INC.",NY,NEW YORK,57678,2015,
DENIED,ASSOCIATE PROJECT MANAGER,Y,YOUNG & RUBICAM INC.,NY,NEW YORK,26083,2015,
DENIED,ANALYST,Y,DEUTSCHE BANK SECURITIES INC.,NY,NEW YORK,62566,2015,
DENIED,ASSOCIATE,Y,GROUPM WORLDWIDE INC.-MINDSHARE WORLDWIDE,NY,NEW YORK,26083,2015,
DENIED,CONSULTANT I,Y,"ROUNDARCH, INC.",NY,NEW YORK,69451,2015,
DENIED,LOGISTICS ANALYST,Y,"JOHNSON CONTROLS, INC.",WI,MILWAUKEE,52915,2015,
